2006,$4250,89710,2006 Honda civic accord crv,https://miami.craigslist.org/mdc/cto/d/miami-toyota-corolla-like-new/6961879298.html,excellent,fwd,gas,89710,green,compact,clean,automatic,sedan,4 cylinders
2009,$5000,83600,2009 honda civic lx sedan,https://miami.craigslist.org/brw/cto/d/pompano-beach-2009-honda-civic-lx/6961765698.html,,,gas,83600,silver,,clean,automatic,,
2008,$3900,137000,2008 honda Civic,https://miami.craigslist.org/mdc/cto/d/miami-2008-honda-civic/6961750234.html,like new,fwd,gas,137000,red,,clean,automatic,sedan,4 cylinders
2005,$2700,162000,2005 Honda Civic LX,https://miami.craigslist.org/pbc/cto/d/stuart-2005-honda-civic-lx-4dr/6961706491.html,good,fwd,gas,162000,black,,clean,automatic,,4 cylinders
2011,$3700,,2011 Honda Civic Coupe,https://miami.craigslist.org/mdc/cto/d/miami-2011-honda-civic-lx-4cyl/6961704026.html,,fwd,gas,,,,rebuilt,automatic,,4 cylinders
2013,$5000,93000,2013 honda civic,https://miami.craigslist.org/mdc/cto/d/miami-gardens-2013-honda-civic/6961681819.html,fair,4wd,gas,93000,brown,mid-size,rebuilt,automatic,other,4 cylinders
2009,$5600,76000,2009 honda civic,https://miami.craigslist.org/pbc/cto/d/west-palm-beach-2009-honda-civic-ex/6961602983.html,good,fwd,gas,76000,blue,compact,clean,automatic,coupe,4 cylinders
2006,$3400,137200,2006 honda civic,https://miami.craigslist.org/mdc/cto/d/miami-2006-honda-civic-coupe-by-owner/6961562863.html,excellent,fwd,gas,137200,blue,mid-size,clean,automatic,coupe,4 cylinders
2006,$3500,,2006 Honda Civic,https://miami.craigslist.org/brw/cto/d/fort-lauderdale-honda-civic/6961530412.html,,,gas,,,,clean,automatic,,
2014,$6400,34000,2014 honda civic,https://miami.craigslist.org/mdc/cto/d/opa-locka-2014-honda-civic-weekend/6961372884.html,like new,fwd,gas,34000,silver,,clean,automatic,,
