2011,"$5,200 ",120000,2011 Honda Civic LX,https://tampa.craigslist.org/pnl/cto/d/clearwater-2011-honda-civic-lx/6960896897.html,excellent,,gas,120000,,,clean,automatic,,4 cylinders,,https://tampa.craigslist.org/pnl/cto/d/clearwater-2011-honda-civic-lx/6960896897.html
2011,"$4,800 ",95200,2011 honda civic,https://tampa.craigslist.org/hil/cto/d/riverview-great-deal-honda-civic/6958183531.html,good,,gas,95200,red,,rebuilt,automatic,,4 cylinders,,https://tampa.craigslist.org/hil/cto/d/riverview-great-deal-honda-civic/6958183531.html
2010,"$4,099 ",130000,2010 Honda Civic,https://orlando.craigslist.org/cto/d/orlando-2010-honda-civic-excellent/6959873670.html,excellent,fwd,gas,130000,blue,,rebuilt,automatic,sedan,4 cylinders,,https://orlando.craigslist.org/cto/d/orlando-2010-honda-civic-excellent/6959873670.html
2010,"$5,800 ",134000,2010 honda civic,https://orlando.craigslist.org/cto/d/kissimmee-2010-honda-civic-lx/6953911795.html,excellent,fwd,gas,134000,black,full-size,clean,automatic,sedan,4 cylinders,,https://orlando.craigslist.org/cto/d/kissimmee-2010-honda-civic-lx/6953911795.html
2010,"$4,300 ",112000,2010 Honda Civic,https://orlando.craigslist.org/cto/d/de-leon-springs-2010-honda-civic/6952653092.html,good,,gas,112000,grey,,clean,automatic,,4 cylinders,,https://orlando.craigslist.org/cto/d/de-leon-springs-2010-honda-civic/6952653092.html
2010,"$5,600 ",143000,2010 honda civic lx,https://orlando.craigslist.org/cto/d/orlando-honda-civic/6951346651.html,good,,gas,143000,grey,,clean,automatic,sedan,,,https://orlando.craigslist.org/cto/d/orlando-honda-civic/6951346651.html
2010,"$6,900 ",81000,2010 honda civic ex,https://orlando.craigslist.org/cto/d/orlando-2010/6950266390.html,excellent,,gas,81000,white,,clean,automatic,,4 cylinders,,https://orlando.craigslist.org/cto/d/orlando-2010/6950266390.html
2010,"$6,000 ",128000,2010 Honda Civic,https://orlando.craigslist.org/cto/d/sanford-honda-civic/6945226165.html,excellent,fwd,gas,128000,red,compact,clean,automatic,sedan,4 cylinders,,https://orlando.craigslist.org/cto/d/sanford-honda-civic/6945226165.html
2010,"$4,800 ",196000,2010 2010 honda civic,https://tampa.craigslist.org/hil/cto/d/tampa-honda-civic-2010-for-sale/6955947079.html,,,gas,196000,,,clean,automatic,,,,https://tampa.craigslist.org/hil/cto/d/tampa-honda-civic-2010-for-sale/6955947079.html
2009,"$4,800 ",128000,2009 2009 honda civic,https://orlando.craigslist.org/cto/d/orlando-2009-honda-civic-4800-orlando/6960144647.html,good,,gas,128000,grey,,clean,automatic,sedan,4 cylinders,,https://orlando.craigslist.org/cto/d/orlando-2009-honda-civic-4800-orlando/6960144647.html
2009,"$3,750 ",100000,2009 Honda Civic,https://orlando.craigslist.org/cto/d/altamonte-springs-2009-honda-civic-3750/6956866424.html,excellent,fwd,gas,100000,blue,compact,clean,automatic,sedan,4 cylinders,,https://orlando.craigslist.org/cto/d/altamonte-springs-2009-honda-civic-3750/6956866424.html
